seed 18760600: Reno 35; coalition 91; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 18; starvation-windows 9
seed 18760619: Reno 32; coalition 68; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=10,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760620: Reno 36; coalition 86; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760621: Reno 29; coalition 90; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=5,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760622: Reno 50; coalition 85; east 3; wing incomplete; hill order-axis=0,combat-pursuit=2,initiative=4,camp-defence=0,unattributed=0; holder-violations 0; switches 33; starvation-windows 15
seed 18760623: Reno 38; coalition 40; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 12; starvation-windows 9
seed 18760624: Reno 33; coalition 37; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=7,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760625: Reno 31; coalition 90; east 3; wing complete; hill order-axis=0,combat-pursuit=0,initiative=2,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760626: Reno 34; coalition 71; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=5,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760627: Reno 34; coalition 62; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=6,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760628: Reno 36; coalition 87; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760629: Reno 27; coalition 49; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760630: Reno 33; coalition 45; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 12; starvation-windows 9
seed 18760631: Reno 40; coalition 49; east 3; wing complete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 3
seed 18760632: Reno 40; coalition 44; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 15
seed 18760633: Reno 26; coalition 101; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=2,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760634: Reno 31; coalition 84; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=6,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760635: Reno 24; coalition 39; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=5,camp-defence=0,unattributed=0; holder-violations 0; switches 15; starvation-windows 15
seed 18760636: Reno 30; coalition 75; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=1,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760637: Reno 26; coalition 71; east 3; wing complete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760638: Reno 27; coalition 92; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760639: Reno 37; coalition 74; east 3; wing complete; hill order-axis=0,combat-pursuit=1,initiative=1,camp-defence=0,unattributed=0; holder-violations 0; switches 12; starvation-windows 6
seed 18760640: Reno 32; coalition 87; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=5,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760641: Reno 28; coalition 52; east 3; wing complete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760642: Reno 24; coalition 71; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760643: Reno 40; coalition 90; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=3,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760644: Reno 33; coalition 85; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=6,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 15
seed 18760645: Reno 31; coalition 43; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760646: Reno 27; coalition 48; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=3,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 15
seed 18760647: Reno 30; coalition 27; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=0,camp-defence=0,unattributed=0; holder-violations 0; switches 27; starvation-windows 12
seed 18760648: Reno 24; coalition 67; east 3; wing incomplete; hill order-axis=0,combat-pursuit=0,initiative=2,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
seed 18760649: Reno 32; coalition 43; east 3; wing complete; hill order-axis=0,combat-pursuit=0,initiative=5,camp-defence=0,unattributed=0; holder-violations 0; switches 9; starvation-windows 9
