seed 18760600: Reno 35; east 3; coalition 103; bouts 14; annih 2; suppress 7; wing incomplete; audit 0; accounting 0
seed 18760623: Reno 61; east 2; coalition 64; bouts 17; annih 5; suppress 4; wing complete; audit 0; accounting 0
seed 18760624: Reno 30; east 3; coalition 33; bouts 8; annih 2; suppress 2; wing complete; audit 0; accounting 0
seed 18760625: Reno 30; east 3; coalition 72; bouts 11; annih 4; suppress 2; wing complete; audit 0; accounting 0
seed 18760626: Reno 30; east 3; coalition 75; bouts 11; annih 4; suppress 2; wing complete; audit 0; accounting 0
seed 18760627: Reno 33; east 3; coalition 86; bouts 10; annih 4; suppress 2; wing complete; audit 0; accounting 0
seed 18760628: Reno 36; east 3; coalition 103; bouts 8; annih 3; suppress 2; wing complete; audit 0; accounting 0
seed 18760629: Reno 27; east 3; coalition 60; bouts 6; annih 1; suppress 2; wing incomplete; audit 0; accounting 0
seed 18760630: Reno 58; east 2; coalition 70; bouts 23; annih 3; suppress 11; wing incomplete; audit 0; accounting 0
seed 18760631: Reno 40; east 3; coalition 46; bouts 9; annih 2; suppress 2; wing complete; audit 0; accounting 0
seed 18760632: Reno 68; east 2; coalition 48; bouts 10; annih 3; suppress 2; wing complete; audit 0; accounting 0
seed 18760633: Reno 28; east 3; coalition 91; bouts 10; annih 3; suppress 3; wing complete; audit 0; accounting 0
seed 18760634: Reno 28; east 3; coalition 79; bouts 9; annih 3; suppress 2; wing complete; audit 0; accounting 0
seed 18760635: Reno 24; east 3; coalition 48; bouts 11; annih 3; suppress 3; wing complete; audit 0; accounting 0
seed 18760636: Reno 30; east 3; coalition 72; bouts 7; annih 2; suppress 2; wing incomplete; audit 0; accounting 0
seed 18760637: Reno 26; east 3; coalition 65; bouts 8; annih 2; suppress 2; wing complete; audit 0; accounting 0
seed 18760638: Reno 27; east 3; coalition 71; bouts 11; annih 4; suppress 2; wing complete; audit 0; accounting 0
seed 18760639: Reno 37; east 3; coalition 64; bouts 13; annih 1; suppress 6; wing incomplete; audit 0; accounting 0
seed 18760640: Reno 39; east 3; coalition 92; bouts 8; annih 3; suppress 2; wing complete; audit 0; accounting 0
seed 18760641: Reno 32; east 3; coalition 49; bouts 10; annih 3; suppress 3; wing complete; audit 0; accounting 0
seed 18760642: Reno 24; east 3; coalition 72; bouts 8; annih 2; suppress 2; wing complete; audit 0; accounting 0
seed 18760643: Reno 43; east 3; coalition 81; bouts 6; annih 1; suppress 2; wing complete; audit 0; accounting 0
seed 18760644: Reno 66; east 2; coalition 85; bouts 12; annih 5; suppress 2; wing complete; audit 0; accounting 0
seed 18760645: Reno 36; east 3; coalition 39; bouts 9; annih 3; suppress 3; wing complete; audit 0; accounting 0
seed 18760646: Reno 27; east 3; coalition 45; bouts 9; annih 3; suppress 2; wing complete; audit 0; accounting 0
seed 18760647: Reno 30; east 3; coalition 29; bouts 12; annih 2; suppress 6; wing incomplete; audit 0; accounting 0
seed 18760648: Reno 24; east 3; coalition 83; bouts 9; annih 3; suppress 2; wing complete; audit 0; accounting 0
seed 18760649: Reno 28; east 3; coalition 39; bouts 8; annih 2; suppress 2; wing complete; audit 0; accounting 0
