census rows parsed: 120 (with >=1 within-650 companion: 99)
row 18760600 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760613 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760613 t1720 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760613 t1750 co-e[self P3 4062m]: co-f:P3@0(own-obj 4062m, order wing-consolidate) co-c:P3@425(own-obj 3509m, order right-wing-ridges) | rowSurvives=no
row 18760614 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760614 t1724 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760615 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760615 t1719 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760616 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760616 t1710 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760616 t1777 co-e[self P2 4783m]: co-f:P2@0(own-obj 4783m, order wing-consolidate) co-c:P3@310(own-obj 3510m, order right-wing-ridges) | rowSurvives=no
row 18760617 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760617 t1720 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760618 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760618 t1716 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760619 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760620 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760620 t1720 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760621 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760622 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760622 t1708 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760623 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760623 t1708 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760624 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760624 t1708 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760625 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760625 t1720 co-i[self P2 1005m]: co-e:P3@145(own-obj 145m, order wing-consolidate) | rowSurvives=no
row 18760626 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760626 t1720 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760626 t1750 co-e[self P3 4062m]: co-f:P3@0(own-obj 4062m, order wing-consolidate) co-c:P3@425(own-obj 3509m, order right-wing-ridges) | rowSurvives=no
row 18760627 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760627 t1766 co-e[self P3 3972m]: co-f:P3@0(own-obj 3972m, order wing-consolidate) | rowSurvives=no
row 18760628 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760629 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760629 t1700 co-c[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) co-i:P2@0(own-obj 1005m, order right-wing-ridges) | rowSurvives=YES
row 18760629 t1702 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760629 t1742 co-e[self P3 3972m]: co-f:P3@356(own-obj 3627m, order wing-consolidate) | rowSurvives=no
row 18760630 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760630 t1708 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760631 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760631 t1708 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760632 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760632 t1708 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760633 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760633 t1720 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760634 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760634 t1708 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760636 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760637 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760637 t1720 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760637 t1796 co-f[self P2 4783m]: co-d:P1@0(own-obj 0m, order weir-advance) | rowSurvives=YES
row 18760638 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760638 t1766 co-e[self P3 3972m]: co-f:P3@0(own-obj 3972m, order wing-consolidate) | rowSurvives=no
row 18760639 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760639 t1708 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760640 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760640 t1719 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760641 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760642 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760642 t1708 co-c[self P2 1005m]: co-f:P1@0(own-obj 0m, order wing-consolidate) co-i:P2@0(own-obj 1005m, order right-wing-ridges) co-e:P3@148(own-obj 148m, order wing-consolidate) | rowSurvives=YES
row 18760642 t1711 co-i[self P2 1005m]: co-f:P3@432(own-obj 432m, order wing-consolidate) co-e:P3@576(own-obj 576m, order wing-consolidate) | rowSurvives=no
row 18760643 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760644 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760644 t1708 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760645 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760645 t1720 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760646 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760647 t1497 co-m[self P3 1990m]: co-g:P3@103(own-obj 1888m, order reno-to-timber) co-a:P3@267(own-obj 1725m, order reno-to-timber) | rowSurvives=no
row 18760647 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760647 t1715 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760648 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760648 t1717 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES
row 18760648 t1765 co-c[self P3 4326m]: co-f:P3@0(own-obj 3972m, order wing-consolidate) | rowSurvives=no
row 18760649 t1684 co-l[self P1 0m]: co-c:P1@0(own-obj 0m, order right-wing-ridges) co-i:P1@0(own-obj 0m, order right-wing-ridges) | rowSurvives=YES
row 18760649 t1717 co-i[self P2 1005m]: co-e:P1@0(own-obj 0m, order wing-consolidate) co-f:P1@0(own-obj 0m, order wing-consolidate) | rowSurvives=YES

companion observations: 190 | P1 at-own-objective 162 | P2 at-other-objective 3 | P3 undeclared 25 | UNRESOLVED 0
occupied rows re-derived: 99 | retain >=1 P1 companion (membership survives): 82 | all companions re-path-produced or unresolved: 17
restricted membership: 82/120 against the original 99/120 (the 21 none-within-650 rows are unchanged)
